"Story","Title","Result","Date","Stability","Duration (s)"
"Product CURD test","This will create a New product","SUCCESS","2022-06-07T22:25:42.898+01:00[Europe/London]","0.0","1.14"
"Product CURD test","Verify if the Product was added to the application","SUCCESS","2022-06-07T22:25:44.038+01:00[Europe/London]","0.0","0.19"
"Product CURD test","Update the product information","SUCCESS","2022-06-07T22:25:44.226+01:00[Europe/London]","0.0","0.26"
"Product CURD test","Delete the product by ID","SUCCESS","2022-06-07T22:25:44.489+01:00[Europe/London]","0.0","0.34"
"Services CRUD test","This will create a New Service","SUCCESS","2022-06-07T22:25:45.036+01:00[Europe/London]","0.0","0.33"
"Services CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-07T22:25:45.364+01:00[Europe/London]","0.0","0.2"
"Services CRUD test","Update the product information","SUCCESS","2022-06-07T22:25:45.567+01:00[Europe/London]","0.0","0.28"
"Services CRUD test","Delete the product by ID","SUCCESS","2022-06-07T22:25:45.848+01:00[Europe/London]","0.0","0.39"
"Stores CURD test","This will create a new store","SUCCESS","2022-06-07T22:25:46.380+01:00[Europe/London]","0.0","0.25"
"Stores CURD test","Verify if the Store was added to the application","SUCCESS","2022-06-07T22:25:46.645+01:00[Europe/London]","0.0","0.17"
"Stores CURD test","Update the store information","SUCCESS","2022-06-07T22:25:46.817+01:00[Europe/London]","0.0","0.3"
"Stores CURD test","Delete the product by ID","SUCCESS","2022-06-07T22:25:47.114+01:00[Europe/London]","0.0","0.27"
